customer_id,first_name,last_name,email,city,state,zip,joined_at,channel
0a2faca0-81f7-4164-aedf-9fab1a87d1d8,Skyler,Martin,skyler.martin@example.com,Lexington,WI,16007,2022-08-21,Agent
25dcc461-e349-4a09-9c08-6696ad251fce,Sawyer,Wilson,sawyer.wilson@example.com,Louisville,MO,70415,2022-03-05,Branch
9d38962e-3849-416d-a86d-da9c4e7db61f,Avery,Hernandez,avery.hernandez@example.com,Columbus,WI,73447,2023-08-23,Agent
12f1f4a2-5b7e-4b69-87cd-8b98e9e7ee7d,Morgan,Martinez,morgan.martinez@example.com,Cincinnati,MI,65975,2024-09-05,Phone
857dbcd9-609c-4971-90f0-343cd7634374,Harper,Smith,harper.smith@example.com,Columbus,KY,43144,2020-12-15,Phone
5d87d718-f18a-49a9-a786-d3e2a3a2b415,Peyton,Wilson,peyton.wilson@example.com,Lexington,PA,95579,2024-03-14,Branch
77408ec6-8176-40d9-a718-e7a602373663,Morgan,Miller,morgan.miller@example.com,Dayton,PA,79037,2022-05-26,Agent
443db8a1-7d04-444b-a18f-010cc3fab649,Harper,Miller,harper.miller@example.com,Dayton,MI,62742,2021-01-08,Online
c663438a-2beb-4b1b-aedc-7d49922d33bd,Casey,Anderson,casey.anderson@example.com,Dayton,MO,74836,2022-12-22,Agent
6cd69b17-3ff5-4a66-a7f0-f3fa2ad63287,Riley,Smith,riley.smith@example.com,Lexington,IN,44715,2020-03-01,Online
5b09f434-fa96-4eef-8085-4595ecd9d511,Avery,Hernandez,avery.hernandez@example.com,Cleveland,WV,36343,2019-02-08,Branch
3afd1b3c-c43e-470f-b444-dddbc0691204,Alex,Miller,alex.miller@example.com,Toledo,IN,73909,2019-10-27,Phone
9177e847-f218-4e36-8325-685ec435fb74,Casey,Martinez,casey.martinez@example.com,Indianapolis,IL,83187,2024-12-09,Agent
d04856c2-97b6-4f89-bbf0-2159c9294b17,Jordan,Jones,jordan.jones@example.com,Toledo,KY,10377,2021-10-08,Branch
c72441ee-430f-4fb1-a086-63bab2bb3dd7,Sawyer,Gonzalez,sawyer.gonzalez@example.com,Lexington,MI,50231,2021-02-01,Agent
f710a0ec-0c93-475a-9c58-edcb9de621ed,Finley,Jones,finley.jones@example.com,Cleveland,WI,18966,2023-03-10,Agent
218e229b-f8ee-4883-a8b3-73cb5cf9dcaa,Jordan,Jones,jordan.jones@example.com,Chicago,PA,55521,2021-12-13,Agent
e43bce80-ba94-43a7-ab4b-1de23fb764b0,Blake,Martin,blake.martin@example.com,Lexington,PA,56290,2022-01-01,Phone
10deabf0-2c5b-4a16-9f4d-58ee7158caf8,Taylor,Garcia,taylor.garcia@example.com,Louisville,MI,96019,2020-12-23,Online
d5ec4ad4-e4cb-4ba1-96b7-eb18f1b59a85,Dakota,Thomas,dakota.thomas@example.com,Lexington,IL,38003,2025-07-31,Online
94a2fcbf-9c53-4cb1-9fa2-c0ff868bc2de,Sawyer,Jackson,sawyer.jackson@example.com,Dayton,IN,47345,2024-04-22,Agent
7424a4e1-0a91-402b-b0a2-eee749fd4004,Taylor,Hernandez,taylor.hernandez@example.com,Dayton,MO,43144,2022-06-06,Branch
f660d572-1c6f-429b-a070-67b5ca1cf11c,Riley,Williams,riley.williams@example.com,Cleveland,WI,89245,2023-01-20,Branch
0f1f4702-aa04-4076-ab94-f0d90fd7ec90,Peyton,Hernandez,peyton.hernandez@example.com,Chicago,MI,43167,2022-03-28,Agent
b8682ee7-606d-4258-832e-89b13bdf6da2,Kai,Martin,kai.martin@example.com,Louisville,IL,46072,2020-09-14,Agent
e2fbb6f7-8f7c-4107-b4e9-647aaae263d2,Peyton,Martin,peyton.martin@example.com,Lexington,IN,17334,2020-10-28,Agent
7cd193d0-63a6-4b90-9c68-7443132441d8,Quinn,Williams,quinn.williams@example.com,Chicago,WI,54891,2021-08-27,Phone
347fbb18-9f39-48b0-973b-bb08d2ee4bde,Peyton,Gonzalez,peyton.gonzalez@example.com,Columbus,IL,67680,2021-01-09,Agent
48395bc4-8e3c-4f7b-994b-19eaf0ec4069,Emerson,Anderson,emerson.anderson@example.com,Lexington,MO,24324,2022-11-16,Agent
4afee599-e84f-427b-bb1f-d1a6e88d5d75,Blake,Smith,blake.smith@example.com,Lexington,MO,55521,2022-08-22,Agent
b39c7ea2-b4f9-4fb3-afa8-a80a40bc6178,Skyler,Rodriguez,skyler.rodriguez@example.com,Cincinnati,MI,17334,2020-06-16,Phone
b8a8a42f-0044-44a0-b661-132a4dcdb812,Avery,Garcia,avery.garcia@example.com,Cleveland,PA,95747,2020-12-16,Branch
7ae5ab44-e379-4f9b-8a70-9a9c89ff51fa,Charlie,Jones,charlie.jones@example.com,Chicago,TN,68236,2022-03-24,Agent
ed85246f-bef7-4ade-bc63-fed4b7fa03e4,Dakota,Jackson,dakota.jackson@example.com,Columbus,OH,89481,2023-10-11,Online
b27642e1-ed66-4f8d-961a-1e34dae36aa0,Harper,Miller,harper.miller@example.com,Lexington,MO,69287,2021-01-29,Online
c5912b8f-003c-4597-9a91-a39427ca4ea4,Taylor,Johnson,taylor.johnson@example.com,Chicago,IL,91090,2023-03-29,Agent
e7feba04-fc1b-4881-b76d-1ce1854c221e,Morgan,Smith,morgan.smith@example.com,Akron,PA,86039,2024-08-25,Agent
8a059235-551b-4794-a5a9-5861cb1d49e0,Taylor,Martinez,taylor.martinez@example.com,Toledo,MI,67600,2022-06-29,Agent
8b467b82-c322-45db-8377-29c6792cd03f,Quinn,Thomas,quinn.thomas@example.com,Cleveland,MO,27843,2025-08-23,Branch
d7018163-1eac-4443-8ecc-d49126f7cdf8,Riley,Hernandez,riley.hernandez@example.com,Columbus,IN,50322,2023-09-05,Online
ebcb9e76-37f2-4427-84b6-5dc60321afc4,Morgan,Rodriguez,morgan.rodriguez@example.com,Akron,IL,12336,2019-05-04,Phone
e9d98507-737e-4e80-8726-3f70750e21a2,Harper,Smith,harper.smith@example.com,Lexington,MI,28883,2025-06-10,Agent
330c7b2b-8720-4ae3-a28b-8d9a47080541,Casey,Moore,casey.moore@example.com,Columbus,WI,17055,2024-06-04,Online
c2d92ba4-8b25-482d-b327-0cd44d2a56b4,Sawyer,Johnson,sawyer.johnson@example.com,Akron,MO,89245,2020-06-13,Agent
44046972-0839-41c9-a0a1-08fac8b1fdc2,Logan,Anderson,logan.anderson@example.com,Chicago,PA,32297,2022-07-01,Agent
e041f2d3-cc99-48ff-a947-f2936e0f80c4,Jordan,Brown,jordan.brown@example.com,Louisville,IL,23708,2025-04-24,Agent
103d94b4-0222-4ce1-9cb6-f45e452f9d6a,Harper,Brown,harper.brown@example.com,Louisville,IL,79347,2021-04-20,Branch
0d063741-4647-474b-82d5-f161ec5ddfa8,Jesse,Gonzalez,jesse.gonzalez@example.com,Columbus,WV,98552,2020-11-24,Agent
b4d37f8d-6043-4c5e-958c-468dc972cbc2,Sawyer,Martin,sawyer.martin@example.com,Dayton,PA,67341,2021-07-01,Agent
916d683a-6856-4805-8a79-b59136ae17dc,Jordan,Gonzalez,jordan.gonzalez@example.com,Indianapolis,WI,27843,2021-06-09,Agent
c52934d3-e255-4f99-94b9-9837c276962c,Peyton,Jackson,peyton.jackson@example.com,Lexington,KY,27103,2022-12-16,Agent
de77286b-39ae-4bf9-9742-992f8e130cea,Dakota,Taylor,dakota.taylor@example.com,Akron,WI,86039,2019-10-22,Agent
4c299c80-611b-4d0a-8fe7-717e901eef11,Emerson,Garcia,emerson.garcia@example.com,Toledo,MO,11633,2023-09-09,Agent
